date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-01-13;Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1243177587.0;3.428;3.428;
2025-01-13;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.176;2.428;
2025-01-13;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.252;2.428;
2025-01-13;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.07;2.262;
2025-01-13;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.528;2.262;
2025-01-13;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;1.083;2.262;
2025-01-13;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.581;2.262;
2025-01-13;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.99;3.577;
2025-01-13;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;2.094;3.577;
2025-01-13;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.263;3.577;
2025-01-13;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.069;3.577;
2025-01-13;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.161;3.577;
2025-01-13;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4394835131.0;2.535;2.535;
2025-01-13;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON  EJ  NM;1345832968.0;0.391;0.608;
2025-01-13;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.151;0.608;
2025-01-13;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.066;0.608;
2025-01-13;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.554;0.554;
2025-01-13;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.173;0.173;
2025-01-13;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.213;1.082;
2025-01-13;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;1051120777.0;0.697;1.082;
2025-01-13;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.11;1.082;
2025-01-13;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.062;1.082;
2025-01-13;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.12;0.12;
2025-01-13;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.01;0.01;
2025-01-13;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.234;0.333;
2025-01-13;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.099;0.333;
2025-01-13;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525591097.0;0.045;0.045;
2025-01-13;Diversos;COGN3;COGNA ON;ON      NM;1872454628.0;0.114;1.795;
2025-01-13;Diversos;RENT3;LOCALIZA;ON      NM;965986531.0;1.442;1.795;
2025-01-13;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.111;1.795;
2025-01-13;Diversos;YDUQ3;YDUQS PART;ON      NM;277677050.0;0.128;1.795;
2025-01-13;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;476976044.0;0.43;0.943;
2025-01-13;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.184;0.943;
2025-01-13;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON  EJ  N2;314150156.0;0.329;0.943;
2025-01-13;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5778248950.0;2.587;2.587;
2025-01-13;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1484426957.0;0.791;17.188;
2025-01-13;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5129958973.0;2.965;17.188;
2025-01-13;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2842613858.0;3.557;17.188;
2025-01-13;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT EJ  N2;1287247964.0;1.845;17.188;
2025-01-13;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4792902422.0;7.591;17.188;
2025-01-13;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.439;17.188;
2025-01-13;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.191;2.108;
2025-01-13;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON  EDR NM;517500000.0;0.379;2.108;
2025-01-13;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.195;2.108;
2025-01-13;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON  EJ  NM;182560698.0;0.343;2.108;
2025-01-13;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EJ  NM;5392540963.0;2.731;2.731;
2025-01-13;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.875;2.878;
2025-01-13;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;2.003;2.878;
2025-01-13;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.204;11.991;
2025-01-13;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON  EJ  N2;1646519336.0;0.413;11.991;
2025-01-13;Mats Básicos / Mineração;VALE3;VALE;ON      NM;4270903023.0;11.374;11.991;
2025-01-13;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265388400.0;0.153;0.153;
2025-01-13;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.079;1.812;
2025-01-13;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.316;1.812;
2025-01-13;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.29;1.812;
2025-01-13;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.127;1.812;
2025-01-13;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;460791208.0;0.594;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.483;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.771;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4431132660.0;8.461;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.233;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.719;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.125;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1090134379.0;0.877;18.184;
2025-01-13;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1023538460.0;0.921;18.184;
2025-01-13;Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370735677.0;0.342;1.737;
2025-01-13;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.395;1.737;
2025-01-13;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455988366.0;0.279;2.378;
2025-01-13;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.544;2.378;
2025-01-13;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1145289019.0;1.555;2.378;
2025-01-13;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.068;0.814;
2025-01-13;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540206440.0;0.746;0.814;
2025-01-13;Telecomunicação;VIVT3;TELEF BRASIL;ON;382442128.0;0.927;1.504;
2025-01-13;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.577;1.504;
2025-01-13;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.095;3.095;
2025-01-13;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.132;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1858636840.0;1.006;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.76;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.307;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.49;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.523;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.616;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.066;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.461;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1249258717.0;1.754;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395801044.0;0.462;10.947;
2025-01-13;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.37;10.947;
